Customer Name,Gender,Customer ID
Kamal Pathak,Male,100000
Kush Chaudary,Male,100001
Pashupati Kaudal,Male,100002
Kamal Vhetuwal,Male,100003
Suman Panma,Male,100004
Srijan Pali,Male,100005
Ram bar Mallik,Male,100006
Sabin Sirohiya,Male,100007
Santosh Chalise,Male,100008
Binod Khaokhali,Male,100009
Bishal Nesha,Male,100010
Amrit Ahamed,Male,100011
Ayush Nidal,Male,100012
Sushant Kanodia,Male,100013
Ayus Sihgh,Male,100014
Nirmal Majhee,Male,100015
Shamar Paudel,Male,100016
Yuki Adhikaree,Male,100017
Amir Chulagain,Male,100018
Binod Pariyar,Male,100019
Krishna Bijukche,Male,100020
Chandra Durme,Male,100021
Glitch Maghaiya,Male,100022
Saroj Thingh,Male,100023
Nitish Barini,Male,100024
Bibhas Lacoul,Male,100025
Sushant Palikhay,Male,100026
Paulo Rasaily,Male,100027
Kaushal Mansuri,Male,100028
Pashupati Barnwal,Male,100029
Kush Gouli,Male,100030
Sabin Alimiya,Male,100031
Nirmal Poudhyal,Male,100032
Sam Buhyo,Male,100033
Suman Paradhan,Male,100034
Bikash Gc,Male,100035
Pralhad Tharu,Male,100036
Kaushal Badu,Male,100037
Rabindra Shankhadev,Male,100038
Krishh Kshetri,Male,100039
Rakesh Khanibanjar,Male,100040
Milan Khirisina,Male,100041
Nirmal Phagami,Male,100042
Pusendra Khulal,Male,100043
Sushil thapa Nyachhyon,Male,100044
Shamar Pachhai,Male,100045
Bhakta Vaidhya,Male,100046
Ram Airee,Male,100047
Yash Sherap,Male,100048
Pramod Jadhari,Male,100049
Pralhad Maheshwari,Male,100050
Ayus Ojha,Male,100051
Sabal Rasali,Male,100052
Susshanzt Shtestha,Male,100053
Sahil Triptahi,Male,100054
Santosh Maharajn,Male,100055
Sushant Bhusal,Male,100056
Yubaraj Sth,Male,100057
Finjo Bagariya,Male,100058
Ram bar Batas,Male,100059
Mitra mani Kisan,Male,100060
Pashupati Khannal,Male,100061
Aditya Poudel,Male,100062
Bikash Kakri,Male,100063
Yuki House,Male,100064
Chhiring Adhikari,Male,100065
Bejyo Pyakurel,Male,100066
Rabindra Atri,Male,100067
Saroj Siwakoiti,Male,100068
Binod Ngakusi,Male,100069
Aditya Ranpaheli,Male,100070
Bhakta Poppe,Male,100071
Jason Paradhananga,Male,100072
Rajiv Gamal,Male,100073
Dipak Choudhary,Male,100074
Aakash Koju,Male,100075
Amir Lohola,Male,100076
Pashupati Atal,Male,100077
Dipesh Sharan,Male,100078
Yash Bolakhe,Male,100079
Aditya Phadera,Male,100080
Manish Kakshyapati,Male,100081
Bhakta Bajagai,Male,100082
Dipesh Yogacharya,Male,100083
Nirmal Thada,Male,100084
